(Parent) ASIN,Title,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile APP – B2B,Session percentage – Mobile App,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B,Units refunded,Units refunded – B2B,Refund Rate,Refund rate – B2B,Shipped product sales,Shipped Product Sales – B2B,Units shipped,Units Shipped – B2B,Orders shipped,Orders Shipped – B2B
B0HB62MT1K,Bourjois Mascara Volume Glamour Push Up 71 Waterproof Black,155,0,87,1,242,1,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,201,0,101,1,302,1,0.01%,0.00%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,2,0,0.83%,0.00%,£14.03,£0.00,2,0,0,0,0.00%,0.00%,£11.69,£0.00,2,0,2,0
B001H7PKVY,"7th Heaven Montagne Jeunesse Passion Peel Off Masque, 10 ml",23,1,16,0,39,1,0.01%,0.00%,0.00%,0.00%,0.00%,0.01%,31,1,18,0,49,1,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,46.81%,0.00%,1,0,2.56%,0.00%,£1.95,£0.00,1,0,0,0,0.00%,0.00%,£1.62,£0.00,1,0,1,0
B002FOTS3O,BLUE Glitter Hair Spray - Stargazer 75ml,5,1,5,0,10,1,0.01%,0.00%,0.00%,0.00%,0.00%,0.01%,5,1,7,0,12,1,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,40.00%,0.00%,1,0,10.00%,0.00%,£7.95,£0.00,1,0,0,0,0.00%,0.00%,£6.62,£0.00,1,0,1,0
B002FOXM1I,SILVER Glitter Hair Spray - Stargazer 75ml,7,0,11,0,18,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9,0,13,0,22,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,80.00%,0.00%,1,0,5.56%,0.00%,£7.95,£0.00,1,0,0,0,0.00%,0.00%,£6.62,£0.00,1,0,1,0
B002FP30GO,Stargazer Glitter Hair Spray Purple 75ml,1,0,2,1,3,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,3,0,4,1,7,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,100.00%,100.00%,6,6,200.00%,600.00%,£35.71,£35.71,1,1,0,0,0.00%,0.00%,£29.76,£29.76,6,6,1,1
B0036PWHLG,Stargazer Glitter Spray Gold 75ml - STGSGS116-GOLD,4,0,7,0,11,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,0,9,0,14,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,41.67%,0.00%,1,0,9.09%,0.00%,£7.95,£0.00,1,0,0,0,0.00%,0.00%,£6.62,£0.00,1,0,1,0
B004S78WEM,Technic ROLL-ON FRUITY LIP GLOSS Tangerine 10 ml,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,100.00%,0.00%,£2.95,£0.00,1,0,0,0,0.00%,0.00%,£2.46,£0.00,1,0,1,0
B004XN0H8K,Kohl Pencil,2,0,12,0,14,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,15,0,17,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,21.43%,0.00%,2,0,14.29%,0.00%,£9.98,£0.00,1,0,0,0,0.00%,0.00%,£8.32,£0.00,2,0,1,0
B005CHES1S,Sally Hansen clip-n-catch Short Nails – 4 Gr,14,0,3,0,17,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16,0,4,0,20,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,44.44%,0.00%,1,0,5.88%,0.00%,£9.99,£0.00,1,0,0,0,0.00%,0.00%,£8.32,£0.00,1,0,1,0
B0076XM3IG,Sally Hansen Nail Strengthener,7,0,9,0,16,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7,0,11,0,18,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,61.11%,0.00%,1,0,6.25%,0.00%,£8.99,£0.00,1,0,0,0,0.00%,0.00%,£7.49,£0.00,1,0,1,0
B008RXW0XC,Laval Lipshiner lipgloss - Crystal Pink,0,0,1,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£3.49,£0.00,1,0,0,0,0.00%,0.00%,£2.91,£0.00,1,0,1,0
B00ARM8HU6,Revlon Dipped End Pencil Eye Pencil - 1.49 g,15,0,8,0,23,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20,0,9,0,29,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.00%,0.00%,1,0,4.35%,0.00%,£9.49,£0.00,1,0,0,0,0.00%,0.00%,£7.91,£0.00,1,0,1,0
B00BW5XIQK,Schwarzkopf Igora Royal 60ml - 6-0,46,0,17,0,63,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,55,0,33,0,88,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.79%,0.00%,1,0,1.59%,0.00%,£9.99,£0.00,1,0,0,0,0.00%,0.00%,£16.64,£0.00,2,0,2,0
B00F2YAHBQ,Eveline Cosmetics Nail Therapy Maximum Nails Growth,31,0,24,4,55,4,0.00%,0.00%,0.00%,0.05%,0.00%,0.03%,42,0,35,4,77,4,0.00%,0.00%,0.00%,0.04%,0.00%,0.02%,7.25%,0.00%,1,0,1.82%,0.00%,£5.85,£0.00,1,0,0,0,0.00%,0.00%,£4.87,£0.00,1,0,1,0
B00FOR9N5W,Stargazer Purple Body Glitter Gel - Face & Body Shimmer - Long Lasting Festival & Party Makeup - Easy to Apply - Cruelty-Free - 10 ml,2,0,6,0,8,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,6,0,8,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,12.50%,0.00%,£3.45,£0.00,1,0,0,0,0.00%,0.00%,£2.87,£0.00,1,0,1,0
B00KG83EKO,"Max Factor 3 x Pan Stik Foundation, Cool Bronze, 9g, Full Coverage, Dewy Finish, Normal/Dry Skin",19,0,15,1,34,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,23,0,20,2,43,2,0.00%,0.00%,0.00%,0.02%,0.00%,0.01%,31.71%,100.00%,1,0,2.94%,0.00%,£16.95,£0.00,1,0,0,0,0.00%,0.00%,£16.95,£0.00,1,0,1,0
B00SZRP1F4,Technic Matte 6 Colour Eyeshadow Palette Powder,154,0,82,1,236,1,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,191,0,114,2,305,2,0.01%,0.00%,0.01%,0.02%,0.01%,0.01%,0.00%,0.00%,1,0,0.42%,0.00%,£3.99,£0.00,1,0,0,0,0.00%,0.00%,£3.32,£0.00,1,0,1,0
B00T4U3XKG,Technic: Mega Bronze (20 g),19,0,11,0,30,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,24,0,17,0,41,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.16%,0.00%,1,0,3.33%,0.00%,£3.09,£0.00,1,0,0,0,0.00%,0.00%,£2.57,£0.00,1,0,1,0
B00TBY8FQ2,LA GIRL Lipliner Pencil - Cabaret,3,0,2,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4,0,2,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,60.00%,0.00%,1,0,20.00%,0.00%,£4.49,£0.00,1,0,0,0,0.00%,0.00%,£3.74,£0.00,1,0,1,0
B00TBY8LMA,LA GIRL Lipliner Pencil - Cafe,2,0,3,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,5,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,3,0,60.00%,0.00%,£13.47,£0.00,1,0,0,0,0.00%,0.00%,£11.22,£0.00,3,0,1,0
B00UME9XPC,Victoria Vynn Professional SILICONE MAT Manicure Nail Hand ARM REST Pad Cover,7,1,3,1,10,2,0.01%,0.00%,0.00%,0.01%,0.00%,0.01%,8,1,3,1,11,2,0.00%,0.01%,0.00%,0.01%,0.00%,0.01%,36.36%,100.00%,1,0,10.00%,0.00%,£5.95,£0.00,1,0,0,0,0.00%,0.00%,£4.96,£0.00,1,0,1,0
B00UYJDAN6,"Rimmel London Wonder'Full Wake Me Up Mascara, Black",33,0,20,0,53,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,46,0,23,0,69,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,26.98%,0.00%,4,0,7.55%,0.00%,£18.32,£0.00,1,0,0,0,0.00%,0.00%,£15.28,£0.00,4,0,1,0
B00V0BTF2C,W7 4-Precise Shaped Brow Master Arches Stencil Kit,136,2,57,0,193,2,0.02%,0.01%,0.01%,0.00%,0.01%,0.01%,163,2,72,0,235,2,0.01%,0.02%,0.01%,0.00%,0.01%,0.01%,6.22%,0.00%,1,0,0.52%,0.00%,£2.97,£0.00,1,0,0,0,0.00%,0.00%,£4.94,£0.00,2,0,2,0
B00W47PO7G,L.A. GIRL Matte Pigment Gloss - Fleur,2,0,0,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,0,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,£5.99,£0.00,1,0,0,0,0.00%,0.00%,£4.99,£0.00,1,0,1,0
B00W9N8ZAI,"7th Heaven Fresh Feet Cooling Deodorizing Cream - Mint and Iced Blueberry, 20ml",2,0,3,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,4,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,1,0,20.00%,0.00%,£1.99,£0.00,1,0,0,0,0.00%,0.00%,£1.66,£0.00,1,0,1,0
B013AUQ4ME,COLOUR X-PERT eye liner waterproof #02-mettalic anthracite Eyeliner,7,0,2,0,9,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7,0,3,0,10,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,0.00%,1,0,11.11%,0.00%,£5.25,£0.00,1,0,0,0,0.00%,0.00%,£5.25,£0.00,1,0,1,0
B014H0G2VE,Technic Lipstick With Added Vitamin E-Heartbeat,16,0,19,0,35,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19,0,21,0,40,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.89%,0.00%,1,0,2.86%,0.00%,£3.35,£0.00,1,0,0,0,0.00%,0.00%,£2.79,£0.00,1,0,1,0
B016WT4JKE,3 Sachets of Montagne Jeunesse Smooth Heels,6,0,2,0,8,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,0,4,0,12,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,12.50%,0.00%,£3.25,£0.00,1,0,0,0,0.00%,0.00%,£2.71,£0.00,1,0,1,0
B017ND9IXQ,"Technic Colour Fix Blush Palette, 3.5 g, Pack of 8",184,2,102,0,286,2,0.02%,0.01%,0.01%,0.00%,0.01%,0.01%,293,3,134,0,427,3,0.01%,0.03%,0.01%,0.00%,0.01%,0.01%,7.69%,0.00%,1,0,0.35%,0.00%,£4.25,£0.00,1,0,0,0,0.00%,0.00%,£7.08,£0.00,2,0,2,0
B01872UVL0,Technic Eyeliner Pencil with Smudger & Sharpener - Black,678,1,265,2,943,3,0.01%,0.04%,0.04%,0.03%,0.04%,0.02%,836,1,334,2,"1,170",3,0.04%,0.01%,0.04%,0.02%,0.04%,0.01%,0.46%,100.00%,1,0,0.11%,0.00%,£2.34,£0.00,1,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B01C5MM896,Rimmel London Super Gel Nail Polish,"2,337",9,854,20,"3,191",29,0.11%,0.15%,0.12%,0.27%,0.14%,0.18%,"2,868",10,"1,093",26,"3,961",36,0.14%,0.09%,0.11%,0.26%,0.13%,0.17%,0.57%,0.00%,1,0,0.03%,0.00%,£6.15,£0.00,1,0,0,0,0.00%,0.00%,£5.12,£0.00,1,0,1,0
B01CZ5I694,Rimmel Soft Kohl Kajal Eye Pencil - Jet Black - Pack of 6 by Rimmel,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,£16.99,£0.00,1,0,0,0,0.00%,0.00%,£14.16,£0.00,1,0,1,0
B01DABUWK8,Technic Dark Red Lip Liner Pencil & Sharpener,2,0,2,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,3,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,1,0,25.00%,0.00%,£3.99,£0.00,1,0,0,0,0.00%,0.00%,£3.32,£0.00,1,0,1,0
B01E4CDE70,"MONTAGNE JEUNESSE 7Th Peel-Off Masque, Sea, 10 ml",4,0,4,0,8,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,0,7,0,12,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,2,0,25.00%,0.00%,£3.98,£0.00,1,0,0,0,0.00%,0.00%,£3.32,£0.00,2,0,1,0
B01FWGYBF6,Technic Superfine Matte Powder Bronzer Compact 12g-Medium,3,0,1,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6,0,1,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,75.00%,0.00%,1,0,25.00%,0.00%,£4.19,£0.00,1,0,0,0,0.00%,0.00%,£3.49,£0.00,1,0,1,0
B01G45AY3M,"Maybelline Fit Me Foundation, Medium Coverage, Blendable With a Matte and Poreless Finish, For Normal to Oily Skin, Shade: 220 Natural Beige, 30ml","1,513",7,535,9,"2,048",16,0.08%,0.10%,0.07%,0.12%,0.09%,0.10%,"2,036",9,674,12,"2,710",21,0.10%,0.08%,0.07%,0.12%,0.09%,0.10%,0.16%,0.00%,1,0,0.05%,0.00%,£8.99,£0.00,1,0,0,0,0.00%,0.00%,£7.49,£0.00,1,0,1,0
B01LXUZ5HD,Technic Primer Spray 31 ml,1,0,3,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,4,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,2,0,50.00%,0.00%,£11.98,£0.00,1,0,0,0,0.00%,0.00%,£9.98,£0.00,2,0,1,0
B01M3NY71U,W7 | Blusher | Duo Blusher DB2,4,0,5,0,9,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4,0,6,0,10,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,55.56%,0.00%,1,0,11.11%,0.00%,£5.88,£0.00,1,0,0,0,0.00%,0.00%,£4.90,£0.00,1,0,1,0
B01M9INQUA,"Elizabeth Arden Eight Hour Miracle Hydrating Mist Spray, 100 ml (Pack of 1)",414,4,197,2,611,6,0.05%,0.03%,0.03%,0.03%,0.03%,0.04%,480,4,229,2,709,6,0.02%,0.04%,0.02%,0.02%,0.02%,0.03%,0.00%,0.00%,1,0,0.16%,0.00%,£21.00,£0.00,1,0,0,0,0.00%,0.00%,£21.00,£0.00,1,0,1,0
B01MTUCWXC,Technic Mega Lash Black,26,0,13,0,39,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40,0,18,0,58,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,5.13%,0.00%,£7.68,£0.00,1,0,0,0,0.00%,0.00%,£6.40,£0.00,2,0,1,0
B01N3LSW4V,Technic Mega Nudes Eyeshadow Palette With Applicator by Technic,61,1,35,0,96,1,0.01%,0.00%,0.00%,0.00%,0.00%,0.01%,84,1,49,0,133,1,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,11.38%,0.00%,1,0,1.04%,0.00%,£3.99,£0.00,1,0,0,0,0.00%,0.00%,£3.32,£0.00,1,0,1,0
B01N5YBIBB,Technic Technic Highlights Stick Cream Bronze Highlighter Sticks 7.3g x,9,0,5,0,14,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12,0,9,0,21,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,0.00%,1,0,7.14%,0.00%,£3.67,£0.00,1,0,0,0,0.00%,0.00%,£3.06,£0.00,1,0,1,0
B01NAMG86Z,Maybelline Fit Me Matte + Poreless Foundation 30ml - 250 Sun Beige,415,5,185,2,600,7,0.06%,0.03%,0.03%,0.03%,0.03%,0.04%,540,5,236,2,776,7,0.03%,0.04%,0.02%,0.02%,0.03%,0.03%,2.75%,0.00%,1,0,0.17%,0.00%,£9.10,£0.00,1,0,0,0,0.00%,0.00%,£7.58,£0.00,1,0,1,0
B06XKNQDVM,"Garnier Moisture Bomb Chamomile & Hyaluronic Acid Sheet Face Mask, 28g",91,0,64,3,155,3,0.00%,0.01%,0.01%,0.04%,0.01%,0.02%,119,0,80,4,199,4,0.01%,0.00%,0.01%,0.04%,0.01%,0.02%,0.00%,0.00%,1,0,0.65%,0.00%,£4.37,£0.00,1,0,0,0,0.00%,0.00%,£4.16,£0.00,1,0,1,0
B072J5J73V,Stargazer Gel Effect Nail Polish,13,0,17,0,30,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16,0,21,0,37,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,91.67%,0.00%,1,0,3.33%,0.00%,£3.95,£0.00,1,0,0,0,0.00%,0.00%,£3.29,£0.00,1,0,1,0
B07418W6DN,RefectoCil Saline Solution 150ml,3,0,4,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,0,4,0,9,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,1,14.29%,0.00%,£12.98,£12.98,1,1,0,0,0.00%,0.00%,£10.82,£10.82,1,1,1,1
B0742CVQW3,"Rimmel London 60 Seconds Super Shine Nail Polish, 905 Girl In Grey, 8 ml, Packaging May Vary",164,1,76,0,240,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.01%,200,5,107,0,307,5,0.01%,0.04%,0.01%,0.00%,0.01%,0.02%,0.71%,0.00%,1,0,0.42%,0.00%,£4.29,£0.00,1,0,0,0,0.00%,0.00%,£3.57,£0.00,1,0,1,0
B074WCJDCG,VICTORIA VYNN GEL POLISH NO. 100 SMOKY PLUM,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,£8.99,£0.00,1,0,0,0,0.00%,0.00%,£7.49,£0.00,1,0,1,0
B075FYXVH7,2 x Max Factor Lasting Performance Touch Proof Foundation 35ml - 102 Pastelle,7,0,8,0,15,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7,0,11,0,18,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,31.25%,0.00%,1,0,6.67%,0.00%,£15.80,£0.00,1,0,0,0,0.00%,0.00%,£13.17,£0.00,1,0,1,0
B075S7TMS2,Joanna Professional Silk Protein Hair Conditioner – Smoothing Hair Products with Silk Proteins – Hydrolyzed Liquid Silk Protein for Hair Growth – Professional Hair Products - 1000 g,14,0,9,0,23,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19,0,13,0,32,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,61.29%,0.00%,1,0,4.35%,0.00%,£9.99,£0.00,1,0,0,0,0.00%,0.00%,£8.32,£0.00,1,0,1,0
B075SDGN2C,Joanna Professional Silk Protein Hair Shampoo – Smoothing Hair Products with Silk Proteins – Hydrolyzed Liquid Silk Protein for Hair Growth – Professional Hair Products - 1000 ml,12,0,5,1,17,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,17,0,8,1,25,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,36.36%,0.00%,1,0,5.88%,0.00%,£9.25,£0.00,1,0,0,0,0.00%,0.00%,£7.71,£0.00,1,0,1,0
B075V6RXVG,Joanna Professional UV Filter Hair Conditioner – Professional UV Protection Hair Care Products – Ripe Cherries Scent – Color-Safe Hair Products – Heat UV Protectant for Women - 1000 g,3,0,0,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,0,0,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,1,0,33.33%,0.00%,£9.99,£0.00,1,0,0,0,0.00%,0.00%,£8.32,£0.00,1,0,1,0
B076568LXJ,Joanna Naturia Color Hair Dye Covers Gray Hair - 238 Frosty Brown,26,0,9,1,35,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,31,0,15,3,46,3,0.00%,0.00%,0.00%,0.03%,0.00%,0.01%,30.95%,0.00%,1,0,2.86%,0.00%,£5.95,£0.00,1,0,0,0,0.00%,0.00%,£4.96,£0.00,1,0,1,0
B07656DGXK,Joanna Naturia Color Permanent Hair Color Cream – Goodness of Milk Proteins and Peach Extracts – Premium-Quality Hair Dye – Provides Soft and Lustrous Hair – Long-Lasting Hair Colors – Noble Pearl,3,0,3,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,0,6,0,11,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,90.00%,0.00%,3,0,50.00%,0.00%,£17.55,£0.00,1,0,0,0,0.00%,0.00%,£14.61,£0.00,3,0,1,0
B0784GFK1F,"Rimmel Super Gel, 54 Trust You, Long-Lasting Nail Polish, Glazed Finish, Easy Application, Gel-like Manicure, Chip Resistant, Clean Formula, 12ml",185,1,85,0,270,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.01%,228,1,104,0,332,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.00%,4.81%,100.00%,1,0,0.37%,0.00%,£5.59,£0.00,1,0,0,0,0.00%,0.00%,£4.66,£0.00,1,0,1,0
B07CQKHVQN,2 x Max Factor Colour Elixir Honey Lacquer Lip Gloss 3.8ml - Floral Ruby,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,50.00%,0.00%,£12.97,£0.00,1,0,0,0,0.00%,0.00%,£10.81,£0.00,1,0,1,0
B07CZ25FCL,2 x Max Factor Lasting Performance Touch Proof Foundation 35ml - 108 Honey Beige,8,0,7,0,15,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,0,7,0,15,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.33%,0.00%,1,0,6.67%,0.00%,£14.95,£0.00,1,0,0,0,0.00%,0.00%,£12.46,£0.00,1,0,1,0
B07DZW6HF9,Rimmel London Magnif Eyes Contouring Palette - 009 Jewel Rocks For Women 0.5 oz Eye Shadow,308,2,165,1,473,3,0.02%,0.02%,0.02%,0.01%,0.02%,0.02%,386,2,208,1,594,3,0.02%,0.02%,0.02%,0.01%,0.02%,0.01%,4.69%,0.00%,1,0,0.21%,0.00%,£5.58,£0.00,1,0,0,0,0.00%,0.00%,£4.65,£0.00,1,0,1,0
B07GZGM59Q,"Bourjois Brow Reveal Pencil 1 Chestnut, .35g",14,0,13,0,27,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,17,0,24,0,41,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,35.29%,0.00%,2,0,7.41%,0.00%,£10.96,£0.00,1,0,0,0,0.00%,0.00%,£9.12,£0.00,2,0,1,0
B07JPBDQ6V,"Sally Hansen Miracle Gel, Satel-Lite Pink, Gel-Like Nail Polish, NO UV Light Required, Chip-Resistant, Long Lasting - Up to 8 days, Easy to Use, Salon Quality Results, Vegan Formula, 14.7ml",52,0,43,2,95,2,0.00%,0.00%,0.01%,0.03%,0.00%,0.01%,64,0,49,2,113,2,0.00%,0.00%,0.01%,0.02%,0.00%,0.01%,15.45%,100.00%,1,0,1.05%,0.00%,£9.99,£0.00,1,0,0,0,0.00%,0.00%,£8.32,£0.00,1,0,1,0
B07LB3LK5K,Technic Mega Lash Mega Curl Mascara,49,0,30,1,79,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,66,0,38,1,104,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,1.06%,100.00%,1,1,1.27%,100.00%,£2.95,£2.95,1,1,0,0,0.00%,0.00%,£2.46,£2.46,1,1,1,1
B07LG75WQG,Victoria Vynn Nail REMOVER SOAK OFF MANICURE 1000ml,8,0,2,0,10,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10,0,2,0,12,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,0.00%,1,0,10.00%,0.00%,£16.49,£0.00,1,0,0,0,0.00%,0.00%,£13.74,£0.00,1,0,1,0
B07MTKVHW3,Victoria Vynn UV Led Nail Gel Polish Color Pastel Hybrid Manicure Soak Off 8ml Pink Twice 198,3,0,0,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7,0,0,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,1,0,33.33%,0.00%,£9.99,£0.00,1,0,0,0,0.00%,0.00%,£8.32,£0.00,1,0,1,0
B07P48PJJG,"Rimmel 60 Seconds Super-Shine Nail Polish, 709 Topless, 8 ml",92,0,69,1,161,1,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,132,0,103,2,235,2,0.01%,0.00%,0.01%,0.02%,0.01%,0.01%,1.38%,0.00%,1,0,0.62%,0.00%,£4.48,£0.00,1,0,0,0,0.00%,0.00%,£3.73,£0.00,1,0,1,0
B07PZ934TF,Stargazer Yummy Colour 4 Shade Semi-Permanent Hair Dye Strips Kit,133,0,34,0,167,0,0.00%,0.01%,0.00%,0.00%,0.01%,0.00%,158,0,39,0,197,0,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%,14.14%,0.00%,1,0,0.60%,0.00%,£5.25,£0.00,1,0,0,0,0.00%,0.00%,£4.37,£0.00,1,0,1,0
B07Q5BPWM7,Yankee Candle Car Freshener,173,0,54,2,227,2,0.00%,0.01%,0.01%,0.03%,0.01%,0.01%,202,0,61,2,263,2,0.01%,0.00%,0.01%,0.02%,0.01%,0.01%,0.00%,0.00%,2,0,0.88%,0.00%,£12.22,£0.00,1,0,0,0,0.00%,0.00%,£11.64,£0.00,2,0,1,0
B07QL7DZFQ,"Rimmel Wonder'Luxe Volume Mascara Brown, Black, 11 ml",138,0,80,2,218,2,0.00%,0.01%,0.01%,0.03%,0.01%,0.01%,169,0,109,3,278,3,0.01%,0.00%,0.01%,0.03%,0.01%,0.01%,1.16%,0.00%,1,0,0.46%,0.00%,£6.79,£0.00,1,0,0,0,0.00%,0.00%,£5.66,£0.00,1,0,1,0
